location,date,total_cases,total_deaths
Brazil,2021-08-30,20703906.0,578326.0
Brazil,2021-08-31,20703906.0,578326.0
Brazil,2021-09-01,20703906.0,578326.0
Brazil,2021-09-02,20703906.0,578326.0
Brazil,2021-09-03,20703906.0,578326.0
Brazil,2021-09-04,20703906.0,578326.0
Brazil,2021-09-05,20856060.0,582670.0
Brazil,2021-09-06,20856060.0,582670.0
Brazil,2021-09-07,20856060.0,582670.0
Brazil,2021-09-08,20856060.0,582670.0
Brazil,2021-09-09,20856060.0,582670.0
Brazil,2021-09-10,20856060.0,582670.0
Brazil,2021-09-11,20856060.0,582670.0
Brazil,2021-09-12,20974850.0,585846.0
Brazil,2021-09-13,20974850.0,585846.0
Brazil,2021-09-14,20974850.0,585846.0
Brazil,2021-09-15,20974850.0,585846.0
